comuna,votos,porcentaje,partido,espacio,candidato
04,9047,8.04,Unión por la Patria,up,Juan Grabois
04,24587,21.85,La Libertad Avanza,libertarios,Javier Milei
04,4383,3.89,FIT-U,izquierda,Myriam Bregman
04,1521,1.35,FIT-U,izquierda,Gabriel Solano
04,1755,1.56,Principios y Valores,otros,Guillermo Moreno
04,1030,0.91,Hacemos por Nuestro País,peronismo,Juan Schiaretti
04,636,0.56,Nuevo MAS,izquierda,Manuela Castañeira
04,419,0.37,MIJD,otros,Santiago Cúneo
04,158,0.14,MIJD,otros,Raúl Castells
04,457,0.40,Libres del Sur,otros,Jesús Escobar
04,381,0.33,Política Obrera,izquierda,Marcelo Ramal
04,284,0.25,Movimiento de Acción Vecinal,otros,Raúl Albarracín
04,268,0.23,Fte. Patriota Federal,otros,César Biondini
04,216,0.19,Ucedé,otros,Andrés Passamonti
04,7,0.01,Frente LIBER.AR,otros,Ramiro Vasena
04,3,0.00,Frente LIBER.AR,otros,Nazareno Etchepare
04,3,0.00,Frente LIBER.AR,otros,Julio Bárbaro
04,2,0.00,Proyecto Joven,otros,Mempo Giardinelli
04,2,0.00,Proyecto Joven,otros,Reina Ibañez
04,1,0.00,Proyecto Joven,otros,Martín A. Ortiz
04,2170,1.9,Blancos,no,Blancos
04,1262,1.1,Nulos,no,Nulos
04,56,0.04,Impugnados,no,Impugnados
05,24533,24.60,Juntos por el Cambio,jxc,Patricia Bullrich
05,19326,19.38,Juntos por el Cambio,jxc,Horacio R. Larreta
05,18787,18.83,Unión por la Patria,up,Sergio Massa
05,8850,8.87,Unión por la Patria,up,Juan Grabois
05,16393,16.43,La Libertad Avanza,libertarios,Javier Milei
05,4758,4.77,FIT-U,izquierda,Myriam Bregman
05,1091,1.09,FIT-U,izquierda,Gabriel Solano
05,1454,1.45,Principios y Valores,otros,Guillermo Moreno
05,1027,1.02,Hacemos por Nuestro País,peronismo,Juan Schiaretti
05,522,0.52,Nuevo MAS,izquierda,Manuela Castañeira
05,332,0.33,MIJD,otros,Santiago Cúneo
05,53,0.05,MIJD,otros,Raúl Castells
05,317,0.31,Política Obrera,izquierda,Marcelo Ramal
05,210,0.21,Libres del Sur,otros,Jesús Escobar
05,165,0.16,Movimiento de Acción Vecinal,otros,Raúl Albarracín
05,163,0.16,Fte. Patriota Federal,otros,César Biondini
05,103,0.10,Ucedé,otros,Andrés Passamonti
05,6,0.01,Frente LIBER.AR,otros,Ramiro Vasena
05,2,0.00,Frente LIBER.AR,otros,Nazareno Etchepare
05,0,0.00,Frente LIBER.AR,otros,Julio Bárbaro
05,6,0.01,Proyecto Joven,otros,Reina Ibañez
05,1,0.00,Proyecto Joven,otros,Mempo Giardinelli
05,0,0.00,Proyecto Joven,otros,Martín A. Ortiz
05,1626,1.61,Blancos,no,Blancos
05,954,0.94,Nulos,no,Nulos
05,62,0.06,Impugnados,no,Impugnados
06,33954,30.01,Juntos por el Cambio,jxc,Patricia Bullrich
06,24300,21.48,Juntos por el Cambio,jxc,Horacio R. Larreta
06,18351,16.22,Unión por la Patria,up,Sergio Massa
06,8653,7.65,Unión por la Patria,up,Juan Grabois
06,16146,14.27,La Libertad Avanza,libertarios,Javier Milei
06,4680,4.13,FIT-U,izquierda,Myriam Bregman
06,1007,0.89,FIT-U,izquierda,Gabriel Solano
06,1432,1.26,Principios y Valores,otros,Guillermo Moreno
06,1069,0.94,Hacemos por Nuestro País,peronismo,Juan Schiaretti
06,485,0.42,Nuevo MAS,izquierda,Manuela Castañeira
06,297,0.26,MIJD,otros,Santiago Cúneo
06,44,0.04,MIJD,otros,Raúl Castells
06,261,0.23,Política Obrera,izquierda,Marcelo Ramal
06,166,0.14,Libres del Sur,otros,Jesús Escobar
06,154,0.13,Fte. Patriota Federal,otros,César Biondini
06,152,0.13,Movimiento de Acción Vecinal,otros,Raúl Albarracín
06,109,0.09,Ucedé,otros,Andrés Passamonti
06,6,0.01,Proyecto Joven,otros,Reina Ibañez
06,2,0.00,Proyecto Joven,otros,Mempo Giardinelli
06,0,0.00,Proyecto Joven,otros,Martín A. Ortiz
06,4,0.01,Frente LIBER.AR,otros,Nazareno Etchepare
06,0,0.00,Frente LIBER.AR,otros,Ramiro Vasena
06,0,0.00,Frente LIBER.AR,otros,Julio Bárbaro
06,1825,1.59,Blancos,no,Blancos
06,944,0.82,Nulos,no,Nulos
06,70,0.06,Impugnados,no,Impugnados
07,29637,24.93,Juntos por el Cambio,jxc,Patricia Bullrich
07,21981,18.49,Juntos por el Cambio,jxc,Horacio R. Larreta
07,21437,18.02,Unión por la Patria,up,Sergio Massa
07,8626,7.25,Unión por la Patria,up,Juan Grabois
07,24100,20.27,La Libertad Avanza,libertarios,Javier Milei
07,4653,3.91,FIT-U,izquierda,Myriam Bregman
07,1261,1.06,FIT-U,izquierda,Gabriel Solano
07,1678,1.41,Principios y Valores,otros,Guillermo Moreno
07,1213,1.02,Hacemos por Nuestro País,peronismo,Juan Schiaretti
07,562,0.47,Nuevo MAS,izquierda,Manuela Castañeira
07,401,0.33,MIJD,otros,Santiago Cúneo
07,98,0.08,MIJD,otros,Raúl Castells
07,356,0.29,Política Obrera,izquierda,Marcelo Ramal
07,261,0.21,Libres del Sur,otros,Jesús Escobar
07,212,0.17,Movimiento de Acción Vecinal,otros,Raúl Albarracín
07,196,0.16,Fte. Patriota Federal,otros,César Biondini
07,183,0.15,Ucedé,otros,Andrés Passamonti
07,2,0.01,Proyecto Joven,otros,Martín A. Ortiz
07,1,0.00,Proyecto Joven,otros,Mempo Giardinelli
07,0,0.00,Proyecto Joven,otros,Reina Ibañez
07,1,0.01,Frente LIBER.AR,otros,Ramiro Vasena
07,0,0.00,Frente LIBER.AR,otros,Nazareno Etchepare
07,0,0.00,Frente LIBER.AR,otros,Julio Bárbaro
07,2017,1.67,Blancos,no,Blancos
07,1199,0.99,Nulos,no,Nulos
07,81,0.06,Impugnados,no,Impugnados
08,15318,16.51,Juntos por el Cambio,jxc,Patricia Bullrich
08,14319,15.44,Juntos por el Cambio,jxc,Horacio R. Larreta
08,20681,22.30,Unión por la Patria,up,Sergio Massa
08,6122,6.60,Unión por la Patria,up,Juan Grabois
08,25504,27.49,La Libertad Avanza,libertarios,Javier Milei
08,3090,3.32,FIT-U,izquierda,Myriam Bregman
08,1250,1.34,FIT-U,izquierda,Gabriel Solano
08,1484,1.59,Principios y Valores,otros,Guillermo Moreno
08,686,0.73,Hacemos por Nuestro País,peronismo,Juan Schiaretti
08,517,0.55,Libres del Sur,otros,Jesús Escobar
08,350,0.37,MIJD,otros,Santiago Cúneo
08,118,0.13,MIJD,otros,Raúl Castells
08,458,0.49,Nuevo MAS,izquierda,Manuela Castañeira
